fid,Baumnummer,Hoehe,Gattung,gebiet,Kronendurchm,pflanzjahr,strasse,Stammumfang,longitude,latitude
"81765","4093","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,263,11.6390168010,52.0552008322
"81766","4094","12","Acer campestre, Feldahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,127,11.6389875306,52.0551992398
"81767","4095","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,174,11.6389210943,52.0552650298
"81768","4096","8","Acer campestre, Feldahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,120,11.6388643539,52.0552923814
"81769","4097","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,400,11.6389053132,52.0553215010
"81770","4098","9","Prunus avium, Vogelkirsche",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,124,11.6388942658,52.0553766070
"81771","4099","15","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,2,,Bäume - Liegenschaftsservice,120,11.6388891788,52.0554140427
"81772","4100","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,160,11.6388437946,52.0554236931
"81773","4101","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,200,11.6388725952,52.0554643265
"81774","4102","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,190,11.6388797939,52.0555022964
"81775","4104","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,160,11.6387886990,52.0555383318
"81776","4105","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,190,11.6388511153,52.0555503331
"81777","4106","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,200,11.6388400788,52.0555907800
"81778","4107","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,140,11.6387815156,52.0556119671
"81779","4108","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,2,,Bäume - Liegenschaftsservice,170,11.6387736521,52.0556616958
"81780","4109","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,3,,Bäume - Liegenschaftsservice,160,11.6388369450,52.0556860881
"81781","4110","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,240,11.6388376913,52.0557135906
"81782","4111","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,185,11.6387989714,52.0557274083
"81783","4112","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,180,11.6388310446,52.0557319957
"81784","4113","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,140,11.6388428469,52.0557787657
"81785","4114","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,420,11.6388428145,52.0558029581
"81786","4115","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,10,,Bäume - Liegenschaftsservice,290,11.6388098904,52.0558161064
"81787","4116","9","Prunus avium, Vogelkirsche",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,140,11.6574990854,52.1609978365
