fid,Baumnummer,Gattung,Stammumfang,Baumhoehe,Kronendurchmesser,Pflanzjahr,Objekt,Art,longitude,latitude
2746,  4445 - Lieg4445,"Acer pseudoplatanus, Berg-Ahorn",70,13,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6501062459233,52.1796203949176
2747,  4446 - Lieg4446,"Acer pseudoplatanus, Berg-Ahorn",73,12,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6500461622548,52.1796087953842
2748,  4449 - Lieg4449,"Populus canadensis Hybride, Schwarzpappel-Hybride",89,13,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6499875464609,52.1795111891295
2749,  4450 - Lieg4450,"Populus canadensis Hybride, Schwarzpappel-Hybride",90,10,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6499586269809,52.1795095009212
2750,  4451 - Lieg4451,"Populus canadensis Hybride, Schwarzpappel-Hybride",78,13,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.649964010393,52.1794819510776
2751,  4452 - Lieg4452,"Acer pseudoplatanus, Berg-Ahorn",71,10,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6500697527846,52.1794692323676
2752,  4454 - Lieg4454,"Acer pseudoplatanus, Berg-Ahorn",80,12,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6500998311114,52.1794977837657
2753,  4455 - Lieg4455,"Acer pseudoplatanus, Berg-Ahorn",60,14,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.650115523042,52.1795181151086
2754,  4456 - Lieg4456,"Acer pseudoplatanus, Berg-Ahorn",65,12,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6501220948957,52.179535144147
2755,  4457 - Lieg4457,"Prunus spec., Kirsche, Pflaume",0,10,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6501372205518,52.179447571434
2756,  4458 - Lieg4458,"Prunus spec., Kirsche, Pflaume",50,6,2,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6501547587528,52.1794030212725
2757,  4459 - Lieg4459,"Acer spec., Ahorn",50,8,1,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.650130376254,52.17937676999
2758,  4461 - Lieg4461,"Acer negundo, Eschenahorn",78,11,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6503570218073,52.178954487094
2759,  4462 - Lieg4462,"Acer negundo, Eschenahorn",90,11,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6503398709081,52.1789317604509
2760,  4464 - Lieg4464,"Acer negundo, Eschenahorn",62,11,2,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6503014809132,52.1788692222985
2761,  4465 - Lieg4465,"Acer negundo, Eschenahorn",72,11,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6503556263337,52.1788547853587
2762,  4466 - Lieg4466,"Acer pseudoplatanus, Berg-Ahorn",68,12,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.65040138822,52.1788149965437
2763,  4467 - Lieg4467,"Acer pseudoplatanus, Berg-Ahorn",172,14,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.650360240409,52.1788069284558
2764,  4468 - Lieg4468,"Acer pseudoplatanus, Berg-Ahorn",50,12,2,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6503754047408,52.1788306889901
2765,  4469 - Lieg4469,"Acer pseudoplatanus, Berg-Ahorn",55,12,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6503085149852,52.1788054832031
2766,  4470 - Lieg4470,"Acer pseudoplatanus, Berg-Ahorn",160,12,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6503432180074,52.1787789829461
2767,  4471 - Lieg4471,"Prunus spec., Kirsche, Pflaume",65,8,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6504169345023,52.1787566417899
